playDispNm,teamAbbr,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playTRB
Shane Larkin,BOS,19,71,10,4,1,0,0,0,5,4,2
Ben Simmons,PHI,37,82,11,5,4,1,0,2,11,4,11
Markelle Fultz,PHI,17,76,6,1,0,1,0,4,9,2,3
Reggie Jackson,DET,32,75,21,5,5,5,0,5,21,8,4
Mike Scott,WAS,21,80,8,1,0,0,1,0,4,3,0
Terrence Ross,ORL,30,78,11,2,0,1,0,3,9,4,6
Jonathan Isaac,ORL,23,82,9,3,4,2,1,3,5,4,1
Jonathon Simmons,ORL,22,78,10,1,2,0,0,2,6,3,1
Rondae Hollis-Jefferson,BKN,25,79,15,1,0,3,3,0,10,5,4
Joe Ingles,UTA,34,80,14,3,1,2,0,2,8,5,3
Ricky Rubio,UTA,33,76,19,10,4,2,0,5,10,4,5
Rudy Gobert,UTA,33,85,10,0,3,2,2,2,10,5,13
Derrick Favors,UTA,29,82,16,3,4,0,1,2,15,8,4
Donovan Mitchell,UTA,20,75,2,2,1,0,2,2,7,1,0
Gorgui Dieng,MIN,16,83,3,1,1,0,0,2,2,1,4
De'Aaron Fox,SAC,26,75,9,10,2,1,0,3,13,4,6
Kosta Koufos,SAC,21,84,3,0,2,1,1,3,4,1,5
Wesley Matthews,DAL,34,77,0,2,4,2,1,1,7,0,1
Klay Thompson,GS,37,79,31,3,1,0,1,2,19,12,4
Shaun Livingston,GS,14,79,2,1,2,0,0,1,4,1,5
Anthony Davis,NO,40,82,35,5,4,2,1,1,21,15,17
Dante Cunningham,NO,28,80,6,0,0,0,0,2,8,2,5
Ian Clark,NO,27,75,14,2,0,1,0,2,7,5,1
Mike James,PHO,22,73,13,1,1,0,1,1,9,4,0
Alex Len,PHO,21,85,4,1,3,0,1,5,4,1,7
Ben Simmons,PHI,33,82,18,8,3,0,0,0,16,7,10
Markelle Fultz,PHI,24,76,6,2,1,0,0,2,5,1,1
T.J. McConnell,PHI,18,74,2,3,2,0,0,4,4,1,1
Kyle Lowry,TOR,28,72,17,5,1,0,0,3,12,6,5
DeMar DeRozan,TOR,27,79,30,3,1,0,0,3,12,8,3
Norman Powell,TOR,17,76,2,2,2,0,1,4,3,0,2
Jakob Pöltl,TOR,17,85,14,0,2,1,3,0,7,6,5
LaMarcus Aldridge,SA,33,83,28,3,1,1,2,2,24,12,10
Kyle Anderson,SA,32,81,4,1,2,0,0,0,7,2,8
Danny Green,SA,29,78,9,3,0,1,0,1,9,4,3
Rudy Gay,SA,23,81,12,1,1,2,0,2,13,6,3
Lauri Markkanen,CHI,37,84,13,0,3,1,0,3,14,5,12
Jerian Grant,CHI,33,77,13,5,4,0,1,2,14,6,4
Denzel Valentine,CHI,27,77,4,0,1,0,0,0,7,2,5
Paul Zipser,CHI,26,80,3,1,1,1,0,2,5,1,4
Cristiano Felício,CHI,18,82,2,2,0,0,0,4,3,1,6
Terrence Ross,ORL,22,78,3,2,1,0,0,1,11,1,3
Jonathan Isaac,ORL,21,82,5,0,1,1,0,4,6,2,6
LeBron James,CLE,31,80,22,2,1,1,1,0,15,8,4
Iman Shumpert,CLE,30,77,21,2,1,0,1,1,14,5,7
Jae Crowder,CLE,19,78,0,0,3,1,1,4,3,0,2
Wesley Matthews,DAL,31,77,11,2,2,1,0,1,11,3,4
James Harden,HOU,31,77,29,7,5,2,0,5,19,10,3
Luc Richard Mbah a Moute,HOU,26,80,6,1,2,2,0,3,6,2,5
Clint Capela,HOU,21,82,13,2,0,0,0,4,8,5,10
Klay Thompson,GS,38,79,14,1,0,0,1,4,16,5,2
Shaun Livingston,GS,18,79,8,0,1,0,0,2,7,4,2
Mike Conley,MEM,32,73,10,7,1,0,0,3,14,3,2
Dillon Brooks,MEM,32,79,9,2,2,1,1,5,7,4,2
Tyreke Evans,MEM,23,78,12,2,2,1,0,0,12,5,7
Mario Chalmers,MEM,22,73,10,3,1,1,1,5,4,2,1
Bojan Bogdanović,IND,21,80,7,1,0,0,0,1,6,3,0
Josh Richardson,MIA,38,78,12,4,3,0,1,3,8,4,8
Dion Waiters,MIA,33,76,19,2,1,2,1,4,16,8,1
Kelly Olynyk,MIA,27,84,13,4,2,2,1,3,10,5,9
Reggie Jackson,DET,26,75,16,7,0,0,0,4,12,4,3
Doug McDermott,NY,28,80,5,1,0,1,1,2,5,2,3
C.J. McCollum,POR,37,75,26,1,2,2,0,2,18,9,3
Jusuf Nurkic,POR,32,83,17,3,2,0,3,1,17,7,11
Pat Connaughton,POR,19,77,3,1,2,0,0,1,4,1,0
Giannis Antetokounmpo,MIL,39,82,44,4,2,2,1,3,23,17,8
Tony Snell,MIL,34,79,17,1,2,1,0,1,8,7,2
DeAndre Liggins,MIL,18,78,0,0,1,0,1,1,2,0,1
De'Aaron Fox,SAC,29,75,18,1,2,0,0,4,13,8,5
Wilson Chandler,DEN,30,80,5,4,1,1,0,1,8,2,12
Kenneth Faried,DEN,23,80,18,1,1,2,1,2,10,7,8
Russell Westbrook,OKC,36,75,6,9,7,2,0,2,11,2,13
Ricky Rubio,UTA,37,76,16,5,6,1,0,3,14,5,6
Rudy Gobert,UTA,33,85,16,2,1,1,0,4,11,8,13
Joe Ingles,UTA,27,80,19,2,3,2,1,3,12,7,3
Derrick Favors,UTA,25,82,13,1,1,1,0,1,6,4,3
Donovan Mitchell,UTA,22,75,2,6,0,1,0,4,7,1,2
Alex Len,PHO,24,85,15,2,1,0,1,2,6,3,7
Mike James,PHO,24,73,10,6,2,1,0,3,9,3,3
Rondae Hollis-Jefferson,BKN,19,79,9,0,1,1,0,4,10,4,7
Gorgui Dieng,MIN,12,83,7,1,1,0,0,2,6,2,3
Russell Westbrook,OKC,37,75,31,10,2,0,1,0,24,12,5
Anthony Davis,NO,39,82,27,3,3,3,3,1,18,9,17
Dante Cunningham,NO,26,80,6,1,0,1,0,2,6,3,4
Ian Clark,NO,24,75,14,2,2,2,0,0,9,6,2
Ben Simmons,PHI,34,82,21,10,4,1,0,2,11,8,12
Reggie Jackson,DET,31,75,16,7,3,0,0,3,17,7,6
