playDispNm,teamAbbr,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playTRB
Doug McDermott,NY,29,80,12,1,1,0,1,2,7,6,2
Lance Thomas,NY,21,80,8,2,1,0,0,2,2,1,4
Michael Carter-Williams,CHA,32,78,9,5,5,0,0,3,10,1,6
Dwight Howard,CHA,31,83,22,3,1,1,0,1,12,8,10
Marvin Williams,CHA,20,81,5,0,0,3,0,0,4,2,3
Kyle Lowry,TOR,37,72,36,6,3,1,0,4,18,12,5
DeMar DeRozan,TOR,35,79,30,6,1,0,0,3,22,14,4
Fred VanVleet,TOR,19,72,8,9,0,0,0,2,6,3,1
Bojan Bogdanović,IND,31,80,15,0,1,1,0,2,12,6,1
James Harden,HOU,35,77,29,10,1,1,0,2,22,8,8
Chris Paul,HOU,30,72,13,7,2,0,0,0,8,5,6
Clint Capela,HOU,28,82,22,1,2,2,0,2,15,10,13
Luc Richard Mbah a Moute,HOU,26,80,4,1,0,0,0,0,6,2,4
Tyus Jones,MIN,42,72,16,6,1,4,0,1,9,6,4
Gorgui Dieng,MIN,37,83,19,5,2,4,0,4,13,8,6
Rajon Rondo,NO,27,73,3,7,3,1,0,3,3,1,1
Darius Miller,NO,25,80,12,1,1,1,0,2,10,4,0
Anthony Davis,NO,18,82,17,0,2,0,0,2,13,7,5
Joe Harris,BKN,30,78,11,2,0,0,0,2,9,4,4
Quincy Acy,BKN,20,79,4,1,1,1,0,1,3,1,5
Wesley Matthews,DAL,36,77,8,2,1,0,0,2,8,3,3
Dennis Smith,DAL,25,75,10,3,2,0,0,1,11,3,2
Dillon Brooks,MEM,33,79,8,2,3,0,0,2,6,3,2
Tyreke Evans,MEM,31,78,22,5,4,0,0,2,17,9,3
JaMychal Green,MEM,28,80,9,2,2,1,0,2,9,4,8
LaMarcus Aldridge,SA,37,83,41,1,1,0,1,2,24,17,6
Kyle Anderson,SA,29,81,10,2,1,4,0,0,7,4,4
Pau Gasol,SA,29,84,4,1,0,2,1,1,6,2,6
Danny Green,SA,28,78,5,2,1,1,1,2,4,2,4
Rudy Gay,SA,22,81,7,1,1,1,2,3,8,2,5
Klay Thompson,GS,39,79,20,2,0,0,0,1,12,6,3
Nick Young,GS,14,79,9,0,1,0,0,0,5,3,2
LeBron James,CLE,38,80,24,12,3,2,2,3,11,8,6
Jae Crowder,CLE,29,78,15,3,0,0,0,2,10,6,2
Ben Simmons,PHI,40,82,15,7,5,5,0,1,14,6,6
Al Horford,BOS,34,82,21,5,2,0,2,2,12,9,8
Marcus Smart,BOS,33,76,5,8,6,1,0,3,6,2,2
Denzel Valentine,CHI,40,77,5,5,0,1,0,2,6,2,7
Lauri Markkanen,CHI,32,84,20,0,1,0,1,3,17,7,9
Kris Dunn,CHI,27,76,19,5,1,1,0,4,11,9,5
Jerian Grant,CHI,23,77,8,7,0,0,0,3,6,3,6
Bobby Portis,CHI,17,83,9,2,2,0,1,1,8,4,2
Jamal Murray,DEN,31,76,5,1,2,0,0,5,9,1,4
Kenneth Faried,DEN,22,80,14,1,1,0,0,3,10,7,13
Giannis Antetokounmpo,MIL,37,82,20,5,0,3,3,3,20,7,9
Tony Snell,MIL,28,79,2,1,0,1,0,0,4,1,2
DeAndre Liggins,MIL,21,78,3,1,1,1,0,2,5,1,1
C.J. McCollum,POR,41,75,15,5,2,0,1,1,20,7,6
Jusuf Nurkic,POR,32,83,25,1,6,3,1,3,17,9,11
Noah Vonleh,POR,23,82,4,0,1,0,0,2,3,1,6
Pat Connaughton,POR,16,77,4,0,1,0,0,0,7,2,3
Donovan Mitchell,UTA,36,75,24,6,2,1,0,2,16,9,0
Alec Burks,UTA,29,78,28,5,2,3,1,3,17,11,7
Derrick Favors,UTA,28,82,12,4,2,1,0,2,8,5,12
Joe Ingles,UTA,27,80,12,6,1,1,0,2,10,4,0
Ricky Rubio,UTA,27,76,15,6,3,2,0,3,9,5,3
Jonas Jerebko,UTA,25,81,14,3,1,0,0,3,8,6,2
Montrezl Harrell,LAC,21,79,13,3,3,0,0,1,5,5,3
Klay Thompson,GS,35,79,27,5,0,0,0,1,14,11,3
Omri Casspi,GS,20,79,11,1,2,0,0,1,5,4,6
Jonathon Simmons,ORL,39,78,18,2,3,1,1,2,18,6,3
Aaron Gordon,ORL,37,81,29,1,3,1,2,0,23,12,7
Elfrid Payton,ORL,29,76,10,9,2,3,0,4,10,5,4
Reggie Jackson,DET,26,75,12,4,3,0,0,3,12,5,0
Tim Frazier,WAS,24,73,6,6,1,2,0,2,5,3,5
Bojan Bogdanović,IND,35,80,6,2,0,0,0,2,11,2,5
Kyle Lowry,TOR,35,72,11,8,3,0,0,2,11,4,7
DeMar DeRozan,TOR,34,79,26,5,2,2,1,0,21,9,5
Jakob Pöltl,TOR,25,85,18,0,0,1,2,3,8,8,6
Fred VanVleet,TOR,24,72,11,6,0,1,0,2,9,5,4
De'Aaron Fox,SAC,28,75,8,2,2,0,4,3,7,4,5
Frank Mason,SAC,16,71,5,4,1,0,0,2,6,1,1
Lauri Markkanen,CHI,28,84,14,0,1,1,0,4,13,5,5
Kris Dunn,CHI,28,76,6,8,2,3,0,1,9,2,2
Jerian Grant,CHI,27,77,17,6,1,2,0,3,11,6,0
Denzel Valentine,CHI,26,77,6,2,0,0,0,3,6,2,6
Paul Zipser,CHI,23,80,14,1,1,0,1,2,14,6,5
LaMarcus Aldridge,SA,32,83,22,1,1,0,0,2,17,7,6
Danny Green,SA,29,78,0,3,2,3,0,2,7,0,5
Pau Gasol,SA,29,84,8,1,0,1,2,2,6,2,8
Kyle Anderson,SA,23,81,5,0,1,0,1,4,3,2,4
Rudy Gay,SA,20,81,18,0,2,1,1,0,9,6,5
Tyreke Evans,MEM,29,78,3,4,1,1,0,1,7,1,3
Dillon Brooks,MEM,23,79,0,2,2,1,1,3,2,0,1
JaMychal Green,MEM,20,80,7,0,2,0,0,5,7,2,3
Marvin Williams,CHA,32,81,16,0,2,2,1,1,7,6,6
Cody Zeller,CHA,31,84,12,1,2,2,2,4,6,4,5
Michael Carter-Williams,CHA,28,78,12,6,2,1,1,3,7,4,4
Josh Richardson,MIA,35,78,27,1,2,1,1,3,14,11,2
Dion Waiters,MIA,30,76,19,4,3,0,0,3,14,6,1
Kelly Olynyk,MIA,30,84,10,6,3,0,0,2,7,3,4
Gorgui Dieng,MIN,22,83,10,2,2,0,0,2,6,5,3
Russell Westbrook,OKC,37,75,15,14,7,2,0,2,21,6,9
Patrick Patterson,OKC,14,81,0,1,1,1,0,1,0,0,5
Anthony Davis,NO,32,82,19,1,2,2,1,0,14,9,10
Rajon Rondo,NO,29,73,13,11,2,0,0,1,9,6,8
Darius Miller,NO,28,80,15,4,0,0,0,2,8,5,0
Joe Ingles,UTA,39,80,13,7,2,1,0,2,8,4,5
Donovan Mitchell,UTA,37,75,41,4,3,0,0,3,25,13,4
Derrick Favors,UTA,34,82,18,5,2,2,0,0,9,7,11
Alec Burks,UTA,31,78,24,1,0,2,1,1,17,10,3
Ricky Rubio,UTA,25,76,0,4,0,1,0,2,7,0,7
Jonas Jerebko,UTA,22,81,8,2,0,0,1,3,7,4,6
Mike James,PHO,23,73,8,5,1,1,0,1,10,4,3
Marquese Chriss,PHO,22,82,2,2,0,1,0,2,2,1,2
Greg Monroe,PHO,20,83,6,3,1,0,0,3,6,2,8
Al Horford,BOS,32,82,14,11,1,0,1,1,10,6,5
Marcus Smart,BOS,28,76,13,7,0,0,1,2,6,3,4
Montrezl Harrell,LAC,25,79,6,1,0,1,1,3,5,3,6
Dennis Smith,DAL,24,75,12,3,2,0,1,5,8,5,5
Wesley Matthews,DAL,24,77,10,3,0,0,1,2,10,4,2
Joe Harris,BKN,26,78,13,3,3,0,0,4,7,4,3
Rondae Hollis-Jefferson,BKN,21,79,9,3,1,0,0,0,9,3,4
Tyreke Evans,MEM,39,78,31,12,1,1,0,1,20,10,7
JaMychal Green,MEM,32,80,16,2,2,0,1,1,13,7,7
Dillon Brooks,MEM,28,79,9,2,3,0,0,3,4,3,5
LeBron James,CLE,39,80,34,12,5,0,1,1,22,13,2
Jae Crowder,CLE,22,78,5,0,0,1,0,0,4,1,0
Reggie Jackson,DET,29,75,25,4,4,0,0,2,13,9,3
Ben Simmons,PHI,39,82,5,6,4,0,2,3,6,2,10
Frank Mason,SAC,23,71,13,3,1,0,0,4,6,4,1
De'Aaron Fox,SAC,21,75,14,3,2,1,0,3,10,5,6
Giannis Antetokounmpo,MIL,34,82,33,5,2,3,1,2,15,8,13
Tony Snell,MIL,31,79,5,2,1,0,0,1,7,2,2
Jamal Murray,DEN,33,76,28,4,2,2,0,3,20,8,4
Kenneth Faried,DEN,27,80,13,1,1,0,1,3,7,6,9
Darius Miller,NO,34,80,10,3,1,1,0,0,8,3,2
Rajon Rondo,NO,28,73,12,10,1,1,0,3,9,5,6
C.J. McCollum,POR,34,75,17,3,1,0,0,3,22,8,4
Pat Connaughton,POR,25,77,8,2,0,1,1,0,7,3,4
Jusuf Nurkic,POR,24,83,8,1,1,0,0,5,11,4,4
Shabazz Napier,POR,24,73,15,2,1,3,0,1,10,4,7
Aaron Gordon,ORL,39,81,10,4,1,2,0,1,11,3,4
Jonathon Simmons,ORL,38,78,16,2,3,2,0,1,14,7,7
Elfrid Payton,ORL,34,76,15,5,0,2,0,0,11,7,6
Doug McDermott,NY,30,80,4,3,0,0,0,4,7,1,5
Michael Beasley,NY,28,82,21,1,5,0,1,4,19,10,3
Lance Thomas,NY,21,80,11,1,0,0,0,3,11,4,5
Klay Thompson,GS,31,79,19,4,1,0,0,1,15,8,5
Omri Casspi,GS,25,79,10,0,0,0,0,2,6,3,5
Josh Richardson,MIA,31,78,12,2,2,0,1,1,11,5,1
Kelly Olynyk,MIA,28,84,14,5,2,0,1,4,11,5,7
Wayne Ellington,MIA,27,76,9,2,0,0,0,3,10,3,3
Dion Waiters,MIA,24,76,4,2,1,0,0,0,10,1,1
Jamil Wilson,LAC,29,79,9,1,1,0,0,4,8,3,1
Gorgui Dieng,MIN,19,83,6,2,1,2,0,3,7,3,5
Bryn Forbes,SA,33,75,5,1,0,1,0,0,11,2,1
Joffrey Lauvergne,SA,23,83,12,0,2,2,0,6,8,5,6
Kyle Anderson,SA,22,81,5,4,3,2,0,2,4,2,3
Danny Green,SA,18,78,6,0,1,0,1,0,6,2,1
Russell Westbrook,OKC,39,75,22,10,7,1,0,2,22,9,10
James Harden,HOU,35,77,36,9,4,2,0,3,22,13,4
Chris Paul,HOU,33,72,21,6,5,2,0,5,17,8,4
Luc Richard Mbah a Moute,HOU,27,80,3,1,0,0,0,1,4,1,2
Clint Capela,HOU,23,82,8,0,2,1,3,3,7,3,13
Aaron Gordon,ORL,35,81,14,3,2,1,1,2,15,4,6
Jonathon Simmons,ORL,34,78,15,1,4,1,0,4,12,7,6
Elfrid Payton,ORL,32,76,11,7,3,0,1,3,9,4,4
Dwight Howard,CHA,29,83,12,1,5,1,0,3,14,5,9
Marvin Williams,CHA,24,81,7,1,0,1,0,3,4,2,5
Doug McDermott,NY,29,80,12,2,2,0,1,0,8,5,1
Ron Baker,NY,22,76,9,4,1,0,0,2,3,2,0
Bojan Bogdanović,IND,29,80,19,2,0,1,0,1,11,7,2
Marquese Chriss,PHO,23,82,3,2,0,0,2,0,5,1,6
Ben Simmons,PHI,36,82,20,7,3,6,0,3,18,9,8
Timothé Luwawu-Cabarrot,PHI,26,79,8,3,1,0,0,5,8,4,2
Joe Harris,BKN,31,78,11,0,4,1,0,4,6,3,4
Rondae Hollis-Jefferson,BKN,29,79,16,3,3,1,1,3,14,6,10
Jarrett Allen,BKN,21,83,11,2,2,1,3,3,6,5,1
Tony Snell,MIL,39,79,11,0,0,0,0,1,8,4,0
Giannis Antetokounmpo,MIL,39,82,40,4,4,0,0,5,24,14,9
Al Horford,BOS,35,82,20,8,2,0,1,4,10,8,9
Marcus Smart,BOS,30,76,8,7,4,1,0,3,8,3,4
LeBron James,CLE,34,80,23,6,2,2,0,1,15,9,7
Channing Frye,CLE,25,83,2,0,0,0,0,2,3,1,2
Lauri Markkanen,CHI,32,84,13,1,2,2,1,2,13,5,7
Kris Dunn,CHI,31,76,15,5,3,0,1,3,13,6,6
Denzel Valentine,CHI,30,77,7,2,1,0,0,2,7,3,3
Bobby Portis,CHI,27,83,10,3,0,0,0,1,13,4,9
Gorgui Dieng,MIN,21,83,10,1,2,1,1,1,5,4,7
JaMychal Green,MEM,37,80,14,2,1,1,0,3,11,4,9
Tyreke Evans,MEM,33,78,16,9,3,1,3,1,14,6,5
Dillon Brooks,MEM,28,79,9,0,1,0,0,3,6,4,4
Mario Chalmers,MEM,20,73,2,3,2,0,1,1,4,1,2
Klay Thompson,GS,37,79,22,1,0,1,0,0,13,8,3
Nick Young,GS,14,79,6,0,0,0,0,0,4,2,1
Darius Miller,NO,34,80,9,1,2,0,1,3,8,3,2
Dante Cunningham,NO,32,80,11,2,1,1,0,3,11,5,9
Rajon Rondo,NO,28,73,10,11,1,2,0,2,9,4,5
Kenneth Faried,DEN,28,80,13,2,0,0,0,2,13,6,11
Jamal Murray,DEN,28,76,22,0,0,1,1,2,12,7,0
Wilson Chandler,DEN,27,80,4,3,1,0,0,0,11,1,7
Wesley Matthews,DAL,33,77,15,2,0,0,1,3,10,5,1
Dennis Smith,DAL,31,75,20,3,3,0,0,2,16,9,5
Reggie Jackson,DET,34,75,27,3,3,1,0,1,21,12,4
LaMarcus Aldridge,SA,35,83,17,4,3,1,0,3,17,5,10
Danny Green,SA,34,78,11,3,2,0,3,2,9,4,6
Rudy Gay,SA,32,81,12,4,0,0,2,2,12,5,10
Pau Gasol,SA,29,84,15,4,2,0,2,1,13,6,10
Jonas Jerebko,UTA,30,81,6,1,3,1,0,1,7,2,5
Alec Burks,UTA,28,78,27,3,0,1,0,5,13,9,5
Donovan Mitchell,UTA,26,75,21,2,3,0,0,2,13,8,3
Derrick Favors,UTA,25,82,9,2,1,1,0,2,7,3,8
Royce O'Neale,UTA,25,78,11,6,1,1,1,1,5,4,7
Ricky Rubio,UTA,24,76,4,4,3,2,0,4,6,1,5
Joe Ingles,UTA,23,80,11,2,3,1,0,2,6,4,2
Greg Monroe,PHO,26,83,11,3,3,3,0,3,4,3,10
Kyle Lowry,TOR,35,72,20,10,4,2,0,2,12,7,6
DeMar DeRozan,TOR,34,79,20,8,0,3,0,2,17,7,7
Jakob Pöltl,TOR,23,85,13,0,0,0,1,4,8,5,5
Fred VanVleet,TOR,21,72,13,6,2,0,0,1,10,4,0
Donovan Mitchell,UTA,36,75,31,4,5,5,0,3,22,11,1
Joe Ingles,UTA,34,80,16,4,1,1,1,2,13,6,2
Ricky Rubio,UTA,34,76,7,5,4,2,0,1,6,3,4
Rudy Gobert,UTA,27,85,5,0,1,1,1,5,2,1,6
Derrick Favors,UTA,23,82,9,0,0,0,1,4,9,4,6
Alec Burks,UTA,22,78,11,5,4,1,0,2,9,2,2
Jonas Jerebko,UTA,21,81,4,0,0,2,0,2,6,2,4
Russell Westbrook,OKC,38,75,34,14,7,1,1,3,25,12,13
Tim Frazier,WAS,24,73,7,3,0,3,0,3,6,3,3
C.J. McCollum,POR,37,75,14,3,1,1,0,5,16,6,6
Jusuf Nurkic,POR,29,83,15,2,2,0,3,4,12,5,9
Pat Connaughton,POR,26,77,3,1,2,0,0,1,6,1,3
Noah Vonleh,POR,15,82,2,0,0,0,0,1,4,1,6
De'Aaron Fox,SAC,29,75,6,2,4,0,1,1,6,3,1
Frank Mason,SAC,19,71,15,2,2,3,0,2,6,4,2
LeBron James,CLE,41,80,32,9,7,3,2,0,18,12,11
Jae Crowder,CLE,24,78,4,1,0,0,0,1,6,2,2
Kris Dunn,CHI,34,76,18,6,4,1,1,4,14,8,6
Denzel Valentine,CHI,33,77,15,3,2,0,1,2,13,5,8
Lauri Markkanen,CHI,31,84,11,2,3,0,0,2,15,5,6
Bobby Portis,CHI,19,83,12,0,0,0,0,0,11,5,7
Bojan Bogdanović,IND,38,80,17,3,1,1,0,1,13,6,2
Aaron Gordon,ORL,45,81,24,2,2,0,1,4,15,9,15
Jonathon Simmons,ORL,41,78,15,1,3,1,1,5,17,7,6
Elfrid Payton,ORL,40,76,6,6,4,2,1,3,11,3,5
Wesley Matthews,DAL,30,77,7,1,2,1,0,3,7,3,1
Dennis Smith,DAL,25,75,12,1,1,2,0,0,16,4,6
Marcus Smart,BOS,34,76,2,4,4,0,0,2,5,1,1
Al Horford,BOS,33,82,17,8,0,2,3,1,17,7,8
Semi Ojeleye,BOS,25,79,0,0,0,0,0,1,3,0,3
Daniel Theis,BOS,17,81,7,2,3,2,1,3,6,3,11
Tyreke Evans,MEM,33,78,15,1,2,1,1,2,13,4,1
JaMychal Green,MEM,27,80,6,0,3,0,0,3,7,2,5
Mario Chalmers,MEM,23,73,14,2,1,2,0,3,9,5,1
Lance Thomas,NY,32,80,8,1,2,0,0,2,2,2,4
Doug McDermott,NY,21,80,5,1,0,1,1,2,4,2,3
Klay Thompson,GS,36,79,22,3,3,0,0,0,14,9,4
Quinn Cook,GS,22,74,8,3,1,0,0,0,7,3,3
Nick Young,GS,20,79,10,0,0,1,0,1,6,3,1
Dwight Howard,CHA,30,83,14,2,2,0,1,3,10,4,7
Marvin Williams,CHA,29,81,7,1,1,0,0,1,8,3,5
Cody Zeller,CHA,16,84,6,2,0,0,1,1,7,3,8
Reggie Jackson,DET,32,75,14,4,2,0,0,2,14,5,5
Giannis Antetokounmpo,MIL,38,82,25,4,5,1,2,4,16,8,10
DeAndre Liggins,MIL,24,78,2,1,0,2,0,2,3,1,4
Kenneth Faried,DEN,24,80,6,0,0,0,2,5,4,3,5
Wilson Chandler,DEN,24,80,8,2,1,0,0,2,11,3,4
Jamal Murray,DEN,23,76,15,4,2,2,1,0,11,5,1
Dante Cunningham,NO,29,80,7,1,1,1,1,0,4,2,6
Darius Miller,NO,27,80,9,1,0,1,0,3,7,3,2
Rajon Rondo,NO,26,73,11,7,2,0,0,1,7,5,6
Dion Waiters,MIA,35,76,22,5,2,0,1,2,12,8,1
Kelly Olynyk,MIA,33,84,5,4,2,3,1,4,3,2,8
Josh Richardson,MIA,31,78,19,2,2,0,0,3,10,7,2
Rudy Gay,SA,33,81,16,3,1,3,0,0,13,6,7
LaMarcus Aldridge,SA,33,83,18,0,1,0,1,4,16,7,4
Danny Green,SA,30,78,12,2,0,2,3,2,7,5,3
Bryn Forbes,SA,28,75,17,2,1,0,0,1,8,6,3
Gorgui Dieng,MIN,21,83,8,2,2,0,0,2,5,4,4
Jamil Wilson,LAC,16,79,5,3,0,0,0,1,5,2,1
Ben Simmons,PHI,43,82,12,15,4,0,1,4,14,6,13
T.J. McConnell,PHI,18,74,0,3,2,0,0,1,2,0,2
Ian Mahinmi,WAS,25,82,10,1,1,2,0,6,5,4,8
Greg Monroe,PHO,27,83,15,5,1,1,0,0,7,6,7
Marquese Chriss,PHO,24,82,11,1,1,2,1,3,7,5,2
Alex Len,PHO,21,85,7,0,1,0,3,1,4,3,8
Russell Westbrook,OKC,36,75,31,6,3,0,0,4,27,10,8
Kyle Singler,OKC,23,80,9,0,0,0,0,3,9,3,3
Patrick Patterson,OKC,20,81,7,1,1,2,0,2,3,3,2
Rondae Hollis-Jefferson,BKN,35,79,17,3,1,1,1,1,15,7,4
Joe Harris,BKN,26,78,7,1,1,0,0,3,8,2,5
Quincy Acy,BKN,20,79,11,0,2,0,0,1,7,3,2
Chris Paul,HOU,37,72,18,13,2,3,1,3,14,7,9
James Harden,HOU,35,77,29,3,3,1,0,2,19,8,5
Luc Richard Mbah a Moute,HOU,22,80,8,1,1,1,0,0,7,3,4
Clint Capela,HOU,17,82,7,0,1,1,1,5,6,3,8
Donovan Mitchell,UTA,35,75,26,4,2,1,0,5,19,9,4
Joe Ingles,UTA,33,80,11,4,2,2,0,2,11,3,4
Ricky Rubio,UTA,30,76,11,1,1,2,0,3,7,3,0
Derrick Favors,UTA,28,82,5,1,0,1,2,4,4,2,5
Rudy Gobert,UTA,28,85,6,1,5,1,2,1,5,2,9
Alec Burks,UTA,27,78,17,3,3,2,0,2,12,6,1
Kris Dunn,CHI,41,76,20,12,1,3,0,5,24,8,6
Lauri Markkanen,CHI,34,84,24,0,1,0,0,1,15,8,12
Denzel Valentine,CHI,25,77,7,1,2,0,0,2,7,3,3
Bobby Portis,CHI,15,83,9,0,2,0,0,2,4,4,4
Dwight Howard,CHA,43,83,25,2,2,1,6,3,23,11,20
Marvin Williams,CHA,40,81,17,1,1,1,1,5,11,6,9
Michael Carter-Williams,CHA,13,78,2,0,0,1,0,2,5,1,0
Klay Thompson,GS,36,79,21,5,3,1,0,2,18,8,4
Shaun Livingston,GS,25,79,10,1,2,0,1,2,7,4,3
Quinn Cook,GS,16,74,7,1,0,0,0,0,4,3,1
Reggie Jackson,DET,27,75,16,2,3,0,0,1,16,7,3
LeBron James,CLE,39,80,29,8,3,1,2,1,22,12,10
Jae Crowder,CLE,24,78,6,2,0,0,1,3,7,1,6
Bojan Bogdanović,IND,35,80,10,1,1,0,0,3,11,3,2
Kenneth Faried,DEN,30,80,20,0,1,1,2,4,10,8,10
Wilson Chandler,DEN,26,80,11,0,0,0,0,2,5,4,4
Jonathon Simmons,ORL,34,78,21,0,4,0,1,4,17,9,4
Elfrid Payton,ORL,31,76,11,6,1,1,0,2,10,3,0
Aaron Gordon,ORL,29,81,14,2,1,0,0,0,12,5,3
Wesley Iwundu,ORL,16,79,2,0,0,1,0,1,3,1,3
Kyle Lowry,TOR,37,72,16,8,1,2,0,0,14,5,6
DeMar DeRozan,TOR,36,79,26,6,4,1,0,3,15,6,7
Jakob Pöltl,TOR,24,85,8,0,0,0,0,2,6,3,7
Fred VanVleet,TOR,22,72,12,3,2,1,1,4,8,4,1
JaMychal Green,MEM,32,80,4,2,3,1,1,2,9,2,5
Tyreke Evans,MEM,27,78,27,4,2,1,0,5,19,10,3
Mario Chalmers,MEM,26,73,7,3,3,2,0,4,4,2,5
Dillon Brooks,MEM,17,79,2,0,0,0,0,4,2,1,0
Wesley Matthews,DAL,38,77,29,1,2,0,0,2,15,11,4
Giannis Antetokounmpo,MIL,43,82,27,3,4,2,2,5,19,8,11
DeAndre Liggins,MIL,19,78,2,1,1,2,0,4,2,1,5
De'Aaron Fox,SAC,36,75,14,4,1,2,0,1,14,5,1
Frank Mason,SAC,26,71,12,3,4,1,0,1,10,4,5
Anthony Davis,NO,31,82,18,2,2,0,0,0,12,5,6
Ian Clark,NO,28,75,15,3,1,0,0,2,8,6,3
Dante Cunningham,NO,25,80,6,0,0,1,1,0,3,2,3
Al Horford,BOS,35,82,2,3,3,0,0,3,6,1,9
Marcus Smart,BOS,22,76,4,2,3,2,0,6,6,2,1
LaMarcus Aldridge,SA,35,83,27,1,2,0,0,4,20,11,10
Bryn Forbes,SA,35,75,6,1,1,2,0,1,3,2,1
Rudy Gay,SA,29,81,15,2,4,0,1,1,9,6,8
Pau Gasol,SA,25,84,14,0,0,1,0,1,10,5,11
Mike Scott,WAS,28,80,22,2,2,0,0,2,11,9,8
Ian Mahinmi,WAS,24,82,14,3,0,0,1,4,6,4,2
Tim Frazier,WAS,21,73,2,6,1,1,0,2,4,1,5
Josh Richardson,MIA,32,78,5,1,0,0,1,4,7,2,6
Kelly Olynyk,MIA,28,84,11,3,3,1,1,3,12,5,5
Dion Waiters,MIA,25,76,2,1,0,0,0,1,10,1,1
Rondae Hollis-Jefferson,BKN,35,79,18,0,0,0,2,3,10,6,8
Jarrett Allen,BKN,22,83,2,0,0,0,1,3,3,1,7
Dwight Howard,CHA,32,83,21,0,5,0,2,5,14,9,12
Marvin Williams,CHA,28,81,13,3,0,0,0,2,11,5,3
Dwayne Bacon,CHA,25,79,2,1,1,1,0,4,3,1,4
Jonathon Simmons,ORL,33,78,29,5,2,1,0,1,24,13,7
Wesley Iwundu,ORL,26,79,7,2,0,0,0,2,9,3,3
Doug McDermott,NY,26,80,10,4,0,1,1,2,8,4,6
Lance Thomas,NY,25,80,4,0,2,1,0,2,5,2,2
Kris Dunn,CHI,30,76,17,9,3,3,0,3,11,6,7
Lauri Markkanen,CHI,30,84,15,0,1,0,2,1,14,7,8
Denzel Valentine,CHI,19,77,0,2,1,1,0,0,5,0,5
Ben Simmons,PHI,36,82,14,10,7,1,1,3,13,7,6
LeBron James,CLE,39,80,30,13,6,3,0,1,23,9,13
Jae Crowder,CLE,33,78,12,0,0,2,1,3,9,4,5
Donovan Mitchell,UTA,37,75,12,2,4,3,1,3,17,4,1
Ricky Rubio,UTA,32,76,10,7,3,1,0,3,7,2,2
Joe Ingles,UTA,31,80,12,4,2,1,0,2,9,4,4
Rudy Gobert,UTA,29,85,20,1,2,0,1,1,8,6,9
Derrick Favors,UTA,27,82,14,0,2,0,1,4,11,5,3
Alec Burks,UTA,27,78,20,3,1,0,0,2,13,8,6
Giannis Antetokounmpo,MIL,39,82,37,7,2,2,0,4,22,14,13
Russell Westbrook,OKC,43,75,20,14,3,1,0,5,29,7,11
Patrick Patterson,OKC,15,81,6,0,0,0,0,1,5,2,4
Tyreke Evans,MEM,41,78,29,5,2,0,1,2,24,13,13
Dillon Brooks,MEM,38,79,13,3,0,0,0,5,8,5,4
JaMychal Green,MEM,34,80,5,4,3,0,0,3,6,2,8
LaMarcus Aldridge,SA,36,83,20,2,0,0,3,2,18,7,9
Bryn Forbes,SA,36,75,11,0,3,0,0,3,13,5,3
Rudy Gay,SA,33,81,16,2,3,0,0,4,11,7,9
Mike James,PHO,29,73,25,2,2,3,0,4,16,8,2
Marquese Chriss,PHO,25,82,15,1,0,0,0,2,10,5,8
Greg Monroe,PHO,22,83,8,1,0,0,0,2,7,3,11
James Harden,HOU,37,77,48,3,2,3,0,2,29,16,8
Chris Paul,HOU,35,72,26,7,3,2,0,2,14,8,3
Luc Richard Mbah a Moute,HOU,24,80,0,0,1,0,2,1,2,0,5
Clint Capela,HOU,22,82,11,2,1,1,0,3,5,4,10
C.J. McCollum,POR,39,75,28,4,5,1,0,4,21,11,2
Pat Connaughton,POR,25,77,8,0,0,0,0,4,10,4,1
Zach Collins,POR,19,84,5,1,1,0,3,2,5,2,2
DeMar DeRozan,TOR,35,79,25,9,1,0,0,1,15,9,3
Kyle Lowry,TOR,35,72,15,6,2,1,0,1,17,4,12
Jakob Pöltl,TOR,22,85,9,0,1,0,1,1,5,4,4
Frank Mason,SAC,25,71,6,3,0,0,0,2,10,1,2
De'Aaron Fox,SAC,23,75,6,2,7,2,0,4,8,3,1
Al Horford,BOS,34,82,18,6,0,0,2,3,15,7,9
Marcus Smart,BOS,25,76,12,3,5,1,0,3,10,4,2
Reggie Jackson,DET,19,75,2,3,0,2,0,1,9,0,1
Wilson Chandler,DEN,37,80,18,1,2,1,1,2,16,7,8
Kenneth Faried,DEN,32,80,4,3,4,1,1,5,5,2,11
Jamal Murray,DEN,27,76,13,1,1,1,1,1,7,4,1
Bojan Bogdanović,IND,35,80,7,2,1,0,0,3,8,2,3
Wesley Matthews,DAL,38,77,14,4,0,1,0,0,17,6,4
Gorgui Dieng,MIN,24,83,4,2,1,2,0,1,4,2,7
Ben Simmons,PHI,36,82,27,10,5,0,1,4,16,10,5
Timothé Luwawu-Cabarrot,PHI,24,79,4,1,2,0,0,2,10,2,1
Anthony Davis,NO,40,82,29,4,3,1,5,5,19,11,8
Rajon Rondo,NO,37,73,13,18,3,5,1,0,7,5,2
Dante Cunningham,NO,22,80,10,1,0,1,0,2,4,3,4
Darius Miller,NO,15,80,5,0,0,0,0,0,4,2,2
Ron Baker,NY,31,76,9,4,1,2,0,3,5,2,1
Doug McDermott,NY,31,80,23,0,0,0,0,3,13,9,3
Lance Thomas,NY,22,80,5,0,1,1,0,5,1,1,1
