,playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt,gameNum
17040,Gerald Green,HOU,Away,Bench,24,80,16,0,2,1,0,3,10,5,3,3,6,LAL,Loss,81
17041,Clint Capela,HOU,Away,Starter,21,82,10,0,1,1,0,3,9,5,0,0,12,LAL,Loss,81
17042,Joe Johnson,HOU,Away,Bench,14,80,9,0,0,0,0,2,2,2,3,3,2,LAL,Loss,81
17043,Trevor Ariza,HOU,Away,Starter,31,80,6,1,1,2,0,1,12,3,0,0,3,LAL,Loss,81
17044,P.J. Tucker,HOU,Away,Starter,22,77,6,0,1,0,1,2,6,2,0,0,8,LAL,Loss,81
17059,Aron Baynes,BOS,Home,Starter,20,82,26,2,1,0,0,1,23,12,2,2,14,BKN,Loss,82
17060,Jonathan Gibson,BOS,Home,Bench,25,74,18,2,3,0,0,2,13,8,0,0,2,BKN,Loss,82
17061,Guerschon Yabusele,BOS,Home,Starter,28,80,16,1,0,2,1,2,10,6,3,3,5,BKN,Loss,82
17062,Shane Larkin,BOS,Home,Starter,26,71,12,7,0,0,0,1,12,5,0,0,10,BKN,Loss,82
17063,Abdel Nader,BOS,Home,Starter,39,78,9,2,1,1,1,1,15,4,2,1,8,BKN,Loss,82
17064,Greg Monroe,BOS,Home,Bench,21,83,9,4,1,1,2,2,9,4,2,1,9,BKN,Loss,82
17065,Jabari Bird,BOS,Home,Starter,29,78,7,1,4,1,0,2,6,2,4,3,7,BKN,Loss,82
17066,Luke Kennard,DET,Away,Starter,31,78,23,5,3,1,0,3,14,8,4,4,5,CHI,Loss,82
17067,Anthony Tolliver,DET,Away,Starter,27,81,18,0,1,0,0,4,10,6,2,2,3,CHI,Loss,82
17068,Eric Moreland,DET,Away,Starter,41,82,16,4,2,4,4,3,12,8,0,0,17,CHI,Loss,82
17069,Henry Ellenson,DET,Away,Bench,28,83,14,2,1,1,0,3,10,5,2,2,10,CHI,Loss,82
17070,Ishmael Smith,DET,Away,Bench,16,72,13,2,1,1,0,1,8,6,0,0,2,CHI,Loss,82
17071,Stanley Johnson,DET,Away,Starter,21,79,11,2,1,0,0,2,7,4,0,0,4,CHI,Loss,82
17072,James Ennis,DET,Away,Bench,21,79,8,1,0,1,0,2,10,4,0,0,0,CHI,Loss,82
17080,Luke Kornet,NY,Away,Bench,28,85,23,2,3,1,1,4,14,9,1,1,3,CLE,Loss,82
17081,Trey Burke,NY,Away,Starter,42,73,19,9,2,3,0,2,16,7,2,2,5,CLE,Loss,82
17082,Frank Ntilikina,NY,Away,Starter,37,77,16,4,1,4,1,2,16,7,0,0,4,CLE,Loss,82
17083,Isaiah Hicks,NY,Away,Bench,30,81,15,4,3,0,0,3,10,6,2,2,3,CLE,Loss,82
17084,Michael Beasley,NY,Away,Starter,21,82,12,2,2,1,1,1,10,5,2,2,6,CLE,Loss,82
17085,Damyean Dotson,NY,Away,Bench,33,77,11,2,3,1,0,4,8,4,3,2,10,CLE,Loss,82
17086,Kyle O'Quinn,NY,Away,Starter,18,82,6,3,0,0,0,5,3,2,1,1,5,CLE,Loss,82
17101,Wayne Ellington,MIA,Home,Bench,35,76,32,0,0,1,1,3,16,12,0,0,3,TOR,Loss,82
17102,Tyler Johnson,MIA,Home,Starter,29,76,11,2,1,0,1,1,12,4,2,2,7,TOR,Loss,82
17103,James Johnson,MIA,Home,Starter,26,81,11,4,2,1,1,2,11,4,4,3,6,TOR,Loss,82
17104,Justise Winslow,MIA,Home,Bench,37,78,11,4,2,1,0,3,12,5,6,1,8,TOR,Loss,82
17105,Kelly Olynyk,MIA,Home,Bench,28,84,11,5,3,1,1,3,10,4,2,2,8,TOR,Loss,82
17106,Dwyane Wade,MIA,Home,Bench,17,76,11,2,1,2,0,0,12,5,2,1,0,TOR,Loss,82
17107,Hassan Whiteside,MIA,Home,Starter,22,84,10,2,0,0,2,2,16,5,0,0,12,TOR,Loss,82
17115,Jimmy Butler,MIN,Home,Starter,42,79,31,5,3,1,1,3,21,10,13,10,5,DEN,Loss,82
17116,Karl-Anthony Towns,MIN,Home,Starter,47,83,26,2,0,1,0,4,19,12,2,2,14,DEN,Loss,82
17117,Andrew Wiggins,MIN,Home,Starter,42,80,18,3,1,0,0,1,9,5,8,5,5,DEN,Loss,82
17118,Jeff Teague,MIN,Home,Starter,43,74,17,7,1,1,0,3,13,6,2,2,1,DEN,Loss,82
17119,Taj Gibson,MIN,Home,Starter,35,81,8,0,1,2,1,5,8,4,0,0,6,DEN,Loss,82
17120,Gorgui Dieng,MIN,Home,Bench,6,83,5,0,0,0,0,0,5,2,0,0,3,DEN,Loss,82
17121,Tyus Jones,MIN,Home,Bench,10,72,3,3,1,0,0,1,1,1,0,0,1,DEN,Loss,82
17129,Jrue Holiday,NO,Home,Starter,34,75,23,7,6,1,0,3,15,11,1,1,3,SA,Loss,82
17130,Anthony Davis,NO,Home,Starter,35,82,22,1,5,3,4,2,18,8,12,6,15,SA,Loss,82
17131,Nikola Mirotić,NO,Home,Starter,34,82,21,1,3,1,1,2,15,9,1,1,15,SA,Loss,82
17132,Rajon Rondo,NO,Home,Starter,32,73,19,14,3,4,0,3,13,9,0,0,5,SA,Loss,82
17133,E'Twaun Moore,NO,Home,Starter,25,76,13,1,1,1,0,3,7,5,2,2,0,SA,Loss,82
17134,Ian Clark,NO,Home,Bench,28,75,11,2,0,1,0,2,10,5,0,0,2,SA,Loss,82
17135,Darius Miller,NO,Home,Bench,21,80,7,1,0,0,0,2,3,2,3,3,4,SA,Loss,82
17143,Paul George,OKC,Home,Starter,34,80,40,2,2,2,1,3,20,13,8,6,4,MEM,Loss,82
17144,Steven Adams,OKC,Home,Starter,37,84,24,0,2,1,0,2,12,9,7,6,7,MEM,Loss,82
17145,Corey Brewer,OKC,Home,Starter,31,81,17,1,1,1,0,3,13,7,2,1,3,MEM,Loss,82
17146,Terrance Ferguson,OKC,Home,Bench,26,79,12,2,0,1,0,3,8,4,0,0,2,MEM,Loss,82
17147,Jerami Grant,OKC,Home,Bench,22,80,12,2,0,0,2,3,4,3,6,6,2,MEM,Loss,82
17148,Carmelo Anthony,OKC,Home,Starter,23,80,10,2,1,1,0,5,10,4,1,1,3,MEM,Loss,82
17149,Raymond Felton,OKC,Home,Bench,12,73,9,1,2,0,0,0,5,3,0,0,1,MEM,Loss,82
17157,Rodney Purvis,ORL,Home,Bench,25,76,16,1,2,0,0,3,13,5,4,4,5,WAS,Loss,82
17158,Mario Hezonja,ORL,Home,Starter,32,79,15,6,5,2,0,3,9,3,7,6,8,WAS,Loss,82
17159,Khem Birch,ORL,Home,Bench,33,81,13,1,2,0,2,2,3,3,10,7,9,WAS,Loss,82
17160,Arron Afflalo,ORL,Home,Bench,17,77,12,1,0,0,0,2,7,5,0,0,0,WAS,Loss,82
17161,Aaron Gordon,ORL,Home,Starter,12,81,11,0,1,0,1,1,9,4,0,0,3,WAS,Loss,82
17162,Terrence Ross,ORL,Home,Bench,14,78,8,1,2,0,2,1,9,3,1,1,3,WAS,Loss,82
17163,D.J. Augustin,ORL,Home,Starter,12,72,7,1,0,0,0,0,3,3,0,0,0,WAS,Loss,82
17171,Justin Anderson,PHI,Home,Bench,32,78,25,1,2,1,1,1,17,9,2,2,6,MIL,Loss,82
17172,Dario Saric,PHI,Home,Starter,28,82,24,1,1,0,0,0,19,10,3,1,5,MIL,Loss,82
17173,Richaun Holmes,PHI,Home,Bench,27,81,19,0,0,1,2,2,11,8,4,3,7,MIL,Loss,82
17174,T.J. McConnell,PHI,Home,Bench,28,74,16,7,0,4,0,1,11,7,0,0,6,MIL,Loss,82
17175,Marco Belinelli,PHI,Home,Starter,20,77,13,5,1,2,0,1,11,4,2,2,3,MIL,Loss,82
17176,Markelle Fultz,PHI,Home,Bench,25,76,13,10,2,2,1,0,13,6,2,1,10,MIL,Loss,82
17177,Amir Johnson,PHI,Home,Starter,15,81,8,1,0,1,0,2,5,4,0,0,8,MIL,Loss,82
17178,Josh Hart,LAL,Away,Starter,36,77,30,5,2,1,0,2,15,9,5,5,5,LAC,Loss,82
17179,Gary Payton II,LAL,Away,Bench,30,75,25,1,4,2,0,4,19,11,0,0,12,LAC,Loss,82
17180,Alex Caruso,LAL,Away,Starter,29,78,15,2,2,0,0,4,11,5,4,2,7,LAC,Loss,82
17181,Brook Lopez,LAL,Away,Starter,17,84,14,1,0,0,1,1,7,4,3,3,2,LAC,Loss,82
17182,Julius Randle,LAL,Away,Starter,17,81,6,3,3,0,0,4,3,2,2,2,5,LAC,Loss,82
17183,Tyler Ennis,LAL,Away,Bench,23,74,6,4,3,1,0,1,8,3,0,0,2,LAC,Loss,82
17184,Thomas Bryant,LAL,Away,Bench,18,82,6,1,0,1,2,2,8,3,0,0,6,LAC,Loss,82
17199,Damian Lillard,POR,Home,Starter,37,75,36,10,0,1,0,0,25,13,6,6,1,UTA,Loss,82
17200,C.J. McCollum,POR,Home,Starter,35,75,19,3,1,1,0,3,18,8,2,1,4,UTA,Loss,82
17201,Jusuf Nurkic,POR,Home,Starter,30,83,13,3,3,1,4,3,16,6,5,1,9,UTA,Loss,82
17202,Shabazz Napier,POR,Home,Bench,14,73,9,0,0,0,0,1,7,3,2,2,3,UTA,Loss,82
17203,Al-Farouq Aminu,POR,Home,Starter,30,81,5,0,1,1,1,1,4,2,0,0,9,UTA,Loss,82
17204,Pat Connaughton,POR,Home,Bench,16,77,5,1,0,0,0,3,3,2,0,0,1,UTA,Loss,82
17205,Wade Baldwin,POR,Home,Bench,13,76,5,0,0,0,1,3,3,2,1,1,2,UTA,Loss,82
17213,Willie Cauley-Stein,SAC,Home,Starter,30,84,22,4,1,1,0,1,12,9,6,4,11,HOU,Loss,82
17214,Buddy Hield,SAC,Home,Bench,28,77,14,5,0,2,0,2,13,6,1,0,5,HOU,Loss,82
17215,Bogdan Bogdanovic,SAC,Home,Starter,31,78,12,5,2,2,0,1,12,5,0,0,5,HOU,Loss,82
17216,Vince Carter,SAC,Home,Bench,25,78,12,1,1,0,0,0,8,5,0,0,3,HOU,Loss,82
17217,De'Aaron Fox,SAC,Home,Starter,27,75,11,4,4,0,0,2,10,5,2,0,8,HOU,Loss,82
17218,JaKarr Sampson,SAC,Home,Starter,23,81,11,0,0,0,1,1,8,5,1,1,4,HOU,Loss,82
17219,Jack Cooley,SAC,Home,Bench,18,81,10,1,2,0,0,3,4,1,10,8,4,HOU,Loss,82
