,playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt,gameNum
16588,Terry Rozier,BOS,Home,Starter,29,73,7,4,3,2,1,1,8,3,0,0,6,CHI,Loss,79
16589,Semi Ojeleye,BOS,Home,Bench,24,79,7,0,0,1,0,1,5,3,0,0,5,CHI,Loss,79
16597,Damyean Dotson,NY,Home,Bench,36,77,30,1,0,1,1,1,21,12,3,2,11,MIA,Loss,79
16598,Trey Burke,NY,Home,Starter,30,73,17,4,2,1,0,2,12,6,7,4,3,MIA,Loss,79
16599,Luke Kornet,NY,Home,Bench,22,85,17,4,1,0,1,3,11,6,1,1,8,MIA,Loss,79
16600,Tim Hardaway Jr.,NY,Home,Starter,29,78,15,5,1,2,0,2,10,5,2,1,4,MIA,Loss,79
16601,Kyle O'Quinn,NY,Home,Starter,22,82,14,2,1,1,3,3,9,5,4,3,14,MIA,Loss,79
16602,Courtney Lee,NY,Home,Bench,29,77,10,4,0,1,0,2,8,4,0,0,3,MIA,Loss,79
16603,Isaiah Hicks,NY,Home,Bench,19,81,9,1,1,0,0,4,6,3,4,3,3,MIA,Loss,79
16611,Serge Ibaka,TOR,Home,Starter,27,83,25,0,1,1,0,1,13,10,0,0,8,IND,Loss,79
16612,DeMar DeRozan,TOR,Home,Starter,28,79,12,8,3,2,1,0,17,5,3,2,5,IND,Loss,79
16613,Jakob Pöltl,TOR,Home,Bench,18,85,10,0,2,1,0,3,5,5,0,0,5,IND,Loss,79
16614,Kyle Lowry,TOR,Home,Starter,28,72,9,9,6,1,2,1,11,3,0,0,5,IND,Loss,79
16615,Jonas Valančiūnas,TOR,Home,Starter,22,84,8,0,1,0,1,2,7,3,3,2,12,IND,Loss,79
16616,Delon Wright,TOR,Home,Bench,21,77,8,4,2,0,0,0,6,2,4,3,3,IND,Loss,79
16617,Pascal Siakam,TOR,Home,Bench,21,82,6,3,1,0,2,1,8,3,1,0,3,IND,Loss,79
16618,Willie Cauley-Stein,SAC,Away,Starter,33,84,18,3,1,2,2,2,14,9,0,0,8,MEM,Loss,80
16619,Buddy Hield,SAC,Away,Bench,34,77,14,6,5,3,0,4,11,6,0,0,5,MEM,Loss,80
16620,De'Aaron Fox,SAC,Away,Starter,33,75,13,4,3,2,0,3,13,5,5,3,6,MEM,Loss,80
16621,Justin Jackson,SAC,Away,Starter,30,80,13,2,1,0,0,5,10,5,0,0,2,MEM,Loss,80
16622,JaKarr Sampson,SAC,Away,Starter,25,81,11,0,0,0,2,1,8,5,2,1,6,MEM,Loss,80
16623,Bogdan Bogdanovic,SAC,Away,Starter,30,78,8,4,2,1,0,2,11,4,0,0,1,MEM,Loss,80
16624,Jack Cooley,SAC,Away,Bench,15,81,6,1,0,0,0,1,5,3,0,0,5,MEM,Loss,80
16632,Anthony Davis,NO,Away,Starter,34,82,33,3,0,2,3,2,23,11,11,9,11,PHO,Loss,79
16633,Nikola Mirotić,NO,Away,Starter,35,82,31,2,1,0,1,4,25,11,4,4,16,PHO,Loss,79
16634,Jrue Holiday,NO,Away,Starter,32,75,22,10,2,2,2,2,15,8,4,2,6,PHO,Loss,79
16635,Jordan Crawford,NO,Away,Bench,9,76,13,2,1,1,0,1,7,4,1,1,0,PHO,Loss,79
16636,Darius Miller,NO,Away,Bench,31,80,7,2,3,2,0,2,7,3,0,0,4,PHO,Loss,79
16637,E'Twaun Moore,NO,Away,Starter,25,76,6,1,2,1,0,2,8,3,0,0,2,PHO,Loss,79
16638,Rajon Rondo,NO,Away,Starter,25,73,6,4,2,1,0,2,6,3,0,0,3,PHO,Loss,79
16646,Jeff Teague,MIN,Away,Starter,33,74,25,8,1,2,0,5,16,9,5,5,4,LAL,Loss,80
16647,Taj Gibson,MIN,Away,Starter,33,81,18,0,1,0,3,3,13,8,3,2,10,LAL,Loss,80
16648,Jimmy Butler,MIN,Away,Starter,23,79,18,1,1,4,0,1,10,7,8,4,2,LAL,Loss,80
16649,Andrew Wiggins,MIN,Away,Starter,36,80,15,5,0,1,1,1,22,7,0,0,8,LAL,Loss,80
16650,Karl-Anthony Towns,MIN,Away,Starter,33,83,14,4,0,2,3,4,13,5,3,3,11,LAL,Loss,80
16651,Tyus Jones,MIN,Away,Bench,15,72,8,3,1,2,0,2,4,2,4,2,0,LAL,Loss,80
16652,Gorgui Dieng,MIN,Away,Bench,13,83,7,1,1,0,1,4,6,3,0,0,7,LAL,Loss,80
16660,Will Barton,DEN,Away,Starter,32,77,31,3,1,0,1,3,15,11,4,4,2,LAC,Loss,80
16661,Nikola Jokić,DEN,Away,Starter,34,82,23,11,2,2,1,2,14,9,5,4,11,LAC,Loss,80
16662,Jamal Murray,DEN,Away,Starter,40,76,19,7,1,0,0,1,10,8,3,3,3,LAC,Loss,80
16663,Paul Millsap,DEN,Away,Starter,30,80,15,4,1,1,0,4,13,6,4,2,2,LAC,Loss,80
16664,Wilson Chandler,DEN,Away,Starter,31,80,13,3,0,0,0,4,8,6,0,0,7,LAC,Loss,80
16665,Mason Plumlee,DEN,Away,Bench,15,82,11,0,1,0,1,5,7,5,3,1,3,LAC,Loss,80
16666,Devin Harris,DEN,Away,Bench,23,75,10,5,0,0,0,0,7,3,4,2,1,LAC,Loss,80
16674,Khris Middleton,MIL,Away,Starter,36,79,22,4,2,0,1,0,22,8,6,6,6,NY,Loss,80
16675,Eric Bledsoe,MIL,Away,Starter,31,73,22,10,1,1,1,4,9,7,7,6,3,NY,Loss,80
16676,Jabari Parker,MIL,Away,Starter,38,80,16,5,2,1,0,0,15,7,0,0,12,NY,Loss,80
16677,John Henson,MIL,Away,Starter,31,83,15,1,0,0,3,2,13,7,2,1,12,NY,Loss,80
16678,Tony Snell,MIL,Away,Starter,31,79,10,3,0,0,2,1,9,4,0,0,4,NY,Loss,80
16679,Jason Terry,MIL,Away,Bench,22,74,9,1,1,3,0,0,7,3,0,0,0,NY,Loss,80
16680,Tyler Zeller,MIL,Away,Bench,17,84,8,2,1,0,1,4,4,4,0,0,5,NY,Loss,80
16688,Quincy Acy,BKN,Away,Bench,23,79,21,1,0,0,1,4,14,7,2,1,3,CHI,Loss,80
16689,Allen Crabbe,BKN,Away,Starter,22,78,20,4,0,1,0,2,15,7,1,1,2,CHI,Loss,80
16690,Joe Harris,BKN,Away,Starter,29,78,16,6,2,1,2,0,9,6,0,0,4,CHI,Loss,80
16691,Caris LeVert,BKN,Away,Bench,24,79,13,8,3,3,0,0,7,5,1,1,1,CHI,Loss,80
16692,D'Angelo Russell,BKN,Away,Starter,23,77,12,5,4,0,1,1,10,4,2,1,4,CHI,Loss,80
16693,Jarrett Allen,BKN,Away,Starter,21,83,9,0,0,0,4,2,6,4,0,0,5,CHI,Loss,80
16694,Dante Cunningham,BKN,Away,Bench,22,80,9,1,0,0,1,3,8,4,1,1,12,CHI,Loss,80
16702,Anthony Davis,NO,Away,Starter,40,82,34,4,2,2,4,2,24,13,10,8,12,GS,Loss,80
16703,Nikola Mirotić,NO,Away,Starter,40,82,28,4,0,3,0,1,18,10,2,2,6,GS,Loss,80
16704,Jrue Holiday,NO,Away,Starter,40,75,25,6,1,4,1,4,18,10,4,4,5,GS,Loss,80
16705,E'Twaun Moore,NO,Away,Starter,37,76,15,7,0,0,0,2,7,7,0,0,0,GS,Loss,80
16706,Rajon Rondo,NO,Away,Starter,32,73,12,17,2,2,0,2,11,5,1,0,4,GS,Loss,80
16707,Darius Miller,NO,Away,Bench,25,80,8,0,0,1,0,0,6,3,1,1,0,GS,Loss,80
16708,Cheick Diallo,NO,Away,Bench,11,81,4,0,1,0,1,1,1,1,4,2,3,GS,Loss,80
16716,Paul George,OKC,Away,Starter,41,80,24,4,5,2,0,4,17,6,10,9,6,HOU,Loss,80
16717,Russell Westbrook,OKC,Away,Starter,38,75,24,10,4,4,1,4,28,10,5,3,7,HOU,Loss,80
16718,Carmelo Anthony,OKC,Away,Starter,35,80,22,1,1,0,1,0,14,7,6,5,6,HOU,Loss,80
16719,Steven Adams,OKC,Away,Starter,29,84,12,3,0,1,0,1,7,5,3,2,8,HOU,Loss,80
16720,Jerami Grant,OKC,Away,Bench,20,80,12,0,0,0,2,1,5,4,4,3,5,HOU,Loss,80
16721,Corey Brewer,OKC,Away,Starter,23,81,6,1,0,1,0,3,8,2,0,0,2,HOU,Loss,80
16722,Álex Abrines,OKC,Away,Bench,27,78,4,1,0,2,0,3,8,1,3,2,5,HOU,Loss,80
16737,LaMarcus Aldridge,SA,Home,Starter,38,83,28,1,2,4,0,1,22,13,2,2,8,POR,Loss,80
16738,Dejounte Murray,SA,Home,Starter,29,77,17,4,2,2,0,2,9,5,10,7,5,POR,Loss,80
16739,Manu Ginóbili,SA,Home,Bench,19,78,17,1,0,1,0,1,7,7,0,0,3,POR,Loss,80
16740,Rudy Gay,SA,Home,Bench,27,81,16,3,0,0,1,2,15,8,0,0,4,POR,Loss,80
16741,Patrick Mills,SA,Home,Starter,32,72,13,6,1,1,0,3,11,5,2,1,1,POR,Loss,80
16742,Pau Gasol,SA,Home,Starter,26,84,9,3,0,1,1,1,8,3,4,2,5,POR,Loss,80
16743,Kyle Anderson,SA,Home,Starter,28,81,7,3,0,2,1,2,4,3,1,1,5,POR,Loss,80
16744,Domantas Sabonis,IND,Away,Bench,38,83,30,3,2,3,0,5,21,13,4,4,8,CHA,Loss,81
16745,Victor Oladipo,IND,Away,Starter,27,76,27,5,3,3,0,5,15,12,2,0,3,CHA,Loss,81
16746,Bojan Bogdanović,IND,Away,Starter,31,80,13,1,0,0,0,2,11,4,5,5,3,CHA,Loss,81
16747,Cory Joseph,IND,Away,Bench,29,75,13,1,4,0,0,1,7,5,2,1,1,CHA,Loss,81
16748,Glenn Robinson,IND,Away,Bench,24,78,13,1,2,1,0,0,6,4,2,2,2,CHA,Loss,81
16749,Darren Collison,IND,Away,Starter,21,72,9,4,1,0,0,1,8,4,0,0,1,CHA,Loss,81
16750,Lance Stephenson,IND,Away,Bench,27,77,8,10,1,1,0,3,13,3,3,2,10,CHA,Loss,81
16765,J.J. Redick,PHI,Home,Starter,31,76,18,4,0,0,0,0,14,6,4,4,2,DAL,Loss,80
16766,Ben Simmons,PHI,Home,Starter,31,82,16,9,3,4,1,3,10,7,6,2,7,DAL,Loss,80
16767,Robert Covington,PHI,Home,Starter,34,81,15,3,1,2,2,1,9,5,2,2,10,DAL,Loss,80
16768,Marco Belinelli,PHI,Home,Bench,27,77,15,2,3,1,1,2,15,7,1,1,4,DAL,Loss,80
16769,Ersan Ilyasova,PHI,Home,Bench,24,81,11,3,1,0,0,2,10,5,0,0,12,DAL,Loss,80
16770,Dario Saric,PHI,Home,Starter,27,82,9,5,0,0,0,3,10,4,0,0,5,DAL,Loss,80
16771,Richaun Holmes,PHI,Home,Bench,21,81,8,1,0,1,0,1,5,4,0,0,5,DAL,Loss,80
16779,MarShon Brooks,MEM,Home,Bench,26,77,25,4,1,1,0,2,14,9,3,3,3,DET,Loss,80
16780,Dillon Brooks,MEM,Home,Starter,32,79,22,8,3,2,0,1,12,5,14,11,8,DET,Loss,80
16781,Marc Gasol,MEM,Home,Starter,35,84,20,9,3,1,1,2,16,8,1,1,9,DET,Loss,80
16782,Kobi Simmons,MEM,Home,Starter,32,77,20,7,1,0,0,2,10,7,2,2,2,DET,Loss,80
16783,Ben McLemore,MEM,Home,Starter,22,77,13,2,0,2,0,2,6,5,1,0,3,DET,Loss,80
16784,Deyonta Davis,MEM,Home,Bench,23,83,13,2,0,0,1,0,8,6,2,1,7,DET,Loss,80
16785,Ivan Rabb,MEM,Home,Starter,22,82,8,0,1,2,2,4,6,4,1,0,4,DET,Loss,80
16786,Donovan Mitchell,UTA,Away,Starter,38,75,28,8,4,1,1,1,18,9,10,7,9,LAL,Loss,80
16787,Joe Ingles,UTA,Away,Starter,33,80,22,10,1,1,1,4,12,9,2,1,4,LAL,Loss,80
16788,Jae Crowder,UTA,Away,Bench,30,78,18,3,0,1,0,3,18,7,0,0,2,LAL,Loss,80
16789,Royce O'Neale,UTA,Away,Bench,24,78,15,2,2,0,0,2,7,5,4,3,5,LAL,Loss,80
16790,Derrick Favors,UTA,Away,Starter,33,82,10,2,2,0,0,1,12,5,0,0,13,LAL,Loss,80
16791,Ricky Rubio,UTA,Away,Starter,18,76,9,2,1,2,0,2,6,4,0,0,3,LAL,Loss,80
16792,Dante Exum,UTA,Away,Bench,23,77,6,5,4,1,0,3,4,1,4,4,3,LAL,Loss,80
16807,C.J. Miles,TOR,Home,Bench,24,78,22,2,0,0,0,0,13,6,6,5,3,ORL,Loss,80
16808,OG Anunoby,TOR,Home,Starter,34,80,21,0,2,0,1,4,10,7,3,2,8,ORL,Loss,80
16809,Serge Ibaka,TOR,Home,Starter,31,83,13,2,2,0,3,2,11,6,1,0,8,ORL,Loss,80
16810,Norman Powell,TOR,Home,Starter,24,76,13,4,2,3,0,0,11,5,0,0,5,ORL,Loss,80
16811,Delon Wright,TOR,Home,Bench,27,77,12,4,0,2,0,3,7,3,5,4,6,ORL,Loss,80
16812,Jakob Pöltl,TOR,Home,Bench,24,85,12,1,4,1,0,3,5,5,3,2,5,ORL,Loss,80
16813,Kyle Lowry,TOR,Home,Starter,31,72,11,7,3,2,0,4,10,3,4,4,1,ORL,Loss,80
16814,Taurean Prince,ATL,Away,Starter,39,80,33,5,5,1,1,2,17,12,2,2,8,BOS,Loss,81
16815,Damion Lee,ATL,Away,Starter,29,78,14,2,0,1,0,2,13,6,0,0,8,BOS,Loss,81
16816,Isaiah Taylor,ATL,Away,Bench,28,74,13,6,1,0,0,1,11,5,4,3,2,BOS,Loss,81
16817,John Collins,ATL,Away,Starter,33,82,12,3,3,3,1,5,9,5,2,2,5,BOS,Loss,81
16818,DeAndre’ Bembry,ATL,Away,Starter,20,78,11,3,0,1,1,1,9,4,2,2,3,BOS,Loss,81
16819,Dewayne Dedmon,ATL,Away,Starter,27,84,10,1,1,0,1,5,9,4,1,0,4,BOS,Loss,81
16820,Mike Muscala,ATL,Away,Bench,29,83,9,3,0,0,0,1,8,3,1,1,3,BOS,Loss,81
16828,Klay Thompson,GS,Away,Starter,34,79,34,1,2,1,0,0,23,14,0,0,3,PHO,Loss,81
16829,Kevin Durant,GS,Away,Starter,31,81,17,9,2,1,0,1,11,6,4,3,4,PHO,Loss,81
16830,Quinn Cook,GS,Away,Starter,37,74,14,3,1,0,0,3,13,6,0,0,6,PHO,Loss,81
16831,Draymond Green,GS,Away,Starter,30,79,14,5,4,2,1,0,10,4,6,4,6,PHO,Loss,81
16832,JaVale McGee,GS,Away,Bench,9,84,11,1,0,1,0,0,6,5,3,1,4,PHO,Loss,81
16833,Shaun Livingston,GS,Away,Bench,17,79,10,1,0,1,0,2,8,4,2,2,2,PHO,Loss,81
16834,Kevon Looney,GS,Away,Bench,19,81,6,0,1,1,4,1,5,3,0,0,6,PHO,Loss,81
16842,Jonas Valančiūnas,TOR,Away,Starter,25,84,25,0,1,0,0,2,13,11,2,2,9,DET,Loss,81
16843,DeMar DeRozan,TOR,Away,Starter,28,79,16,7,1,0,0,2,12,6,2,2,3,DET,Loss,81
16844,Jakob Pöltl,TOR,Away,Bench,23,85,12,0,0,0,1,0,8,6,0,0,7,DET,Loss,81
16845,Kyle Lowry,TOR,Away,Starter,26,72,11,9,2,0,1,3,8,4,0,0,6,DET,Loss,81
16846,Lorenzo Brown,TOR,Away,Bench,25,77,11,1,1,1,0,2,9,5,0,0,5,DET,Loss,81
16847,Pascal Siakam,TOR,Away,Starter,29,82,10,2,1,1,0,3,6,4,0,0,6,DET,Loss,81
16848,OG Anunoby,TOR,Away,Starter,19,80,8,0,1,0,2,0,6,3,0,0,4,DET,Loss,81
16863,Allen Crabbe,BKN,Home,Starter,34,78,41,4,1,1,1,2,15,12,9,9,5,CHI,Loss,81
16864,D'Angelo Russell,BKN,Home,Starter,36,77,21,11,5,2,0,2,21,9,0,0,6,CHI,Loss,81
16865,Spencer Dinwiddie,BKN,Home,Starter,35,78,20,7,4,0,0,1,13,6,6,5,3,CHI,Loss,81
16866,Jarrett Allen,BKN,Home,Starter,28,83,8,0,2,1,4,1,5,4,0,0,5,CHI,Loss,81
16867,Milton Doyle,BKN,Home,Bench,16,76,8,0,0,0,1,4,4,3,0,0,3,CHI,Loss,81
16868,Dante Cunningham,BKN,Home,Bench,21,80,5,2,1,1,1,0,7,2,0,0,5,CHI,Loss,81
16869,Quincy Acy,BKN,Home,Bench,20,79,5,0,0,2,0,2,4,2,0,0,4,CHI,Loss,81
16870,Paul George,OKC,Away,Starter,37,80,27,1,1,1,0,2,19,7,9,8,3,MIA,Loss,81
16871,Russell Westbrook,OKC,Away,Starter,38,75,23,13,6,1,0,3,21,8,6,5,18,MIA,Loss,81
16872,Jerami Grant,OKC,Away,Bench,21,80,17,0,0,1,2,1,6,4,11,9,5,MIA,Loss,81
16873,Carmelo Anthony,OKC,Away,Starter,30,80,11,2,0,0,1,0,11,4,2,2,5,MIA,Loss,81
16874,Raymond Felton,OKC,Away,Bench,14,73,9,1,1,0,0,1,7,3,1,1,1,MIA,Loss,81
16875,Steven Adams,OKC,Away,Starter,32,84,7,1,1,1,1,2,6,3,4,1,3,MIA,Loss,81
16876,Patrick Patterson,OKC,Away,Bench,11,81,7,2,0,1,0,0,3,2,1,1,2,MIA,Loss,81
16884,Kevin Love,CLE,Away,Starter,31,82,28,1,1,2,0,1,17,9,5,4,5,NY,Loss,81
16885,LeBron James,CLE,Away,Starter,39,80,26,11,4,1,0,2,16,7,10,9,6,NY,Loss,81
16886,J.R. Smith,CLE,Away,Bench,32,78,16,4,0,2,0,2,13,6,0,0,7,NY,Loss,81
16887,Jordan Clarkson,CLE,Away,Bench,22,77,16,3,1,0,0,2,9,5,2,2,1,NY,Loss,81
16888,Jeff Green,CLE,Away,Starter,29,81,10,0,0,1,1,4,6,3,5,4,2,NY,Loss,81
16889,Larry Nance Jr.,CLE,Away,Bench,19,80,10,0,1,0,1,0,6,4,2,2,6,NY,Loss,81
16890,George Hill,CLE,Away,Starter,20,74,5,4,1,2,0,0,4,1,2,2,2,NY,Loss,81
16905,Shabazz Muhammad,MIL,Home,Bench,24,78,22,0,0,0,0,3,14,7,7,7,8,ORL,Loss,81
16906,Eric Bledsoe,MIL,Home,Starter,35,73,20,11,3,3,0,2,17,7,4,4,12,ORL,Loss,81
16907,Khris Middleton,MIL,Home,Starter,37,79,18,6,4,3,1,3,16,7,3,3,7,ORL,Loss,81
16908,Jabari Parker,MIL,Home,Starter,29,80,16,0,5,2,0,2,13,7,0,0,9,ORL,Loss,81
16909,Tony Snell,MIL,Home,Starter,25,79,9,1,1,2,1,2,10,3,2,1,2,ORL,Loss,81
16910,John Henson,MIL,Home,Starter,25,83,6,5,0,2,0,2,8,3,2,0,5,ORL,Loss,81
16911,Tyler Zeller,MIL,Home,Bench,21,84,4,0,1,0,0,1,3,2,0,0,5,ORL,Loss,81
16919,Jeff Teague,MIN,Home,Starter,33,74,24,8,5,3,1,1,19,9,5,5,4,MEM,Loss,81
16920,Karl-Anthony Towns,MIN,Home,Starter,30,83,24,2,1,0,1,4,14,11,3,2,18,MEM,Loss,81
16921,Jimmy Butler,MIN,Home,Starter,23,79,15,3,1,3,0,0,8,3,11,9,2,MEM,Loss,81
16922,Derrick Rose,MIN,Home,Bench,22,75,13,3,2,0,0,0,10,5,2,2,1,MEM,Loss,81
16923,Gorgui Dieng,MIN,Home,Bench,17,83,11,0,0,0,1,3,4,3,4,3,6,MEM,Loss,81
16924,Tyus Jones,MIN,Home,Bench,25,72,8,4,1,1,0,4,7,3,0,0,2,MEM,Loss,81
16925,Andrew Wiggins,MIN,Home,Starter,36,80,7,1,1,3,1,3,12,3,1,1,6,MEM,Loss,81
16933,Rudy Gay,SA,Home,Bench,21,81,18,1,1,1,1,1,9,5,9,8,6,SAC,Loss,81
16934,Manu Ginóbili,SA,Home,Bench,27,78,17,5,3,1,0,3,11,5,5,5,6,SAC,Loss,81
16935,Patrick Mills,SA,Home,Starter,37,72,15,1,2,1,0,2,14,6,0,0,2,SAC,Loss,81
16936,LaMarcus Aldridge,SA,Home,Starter,33,83,15,2,0,0,2,1,19,6,4,3,14,SAC,Loss,81
16937,Bryn Forbes,SA,Home,Bench,19,75,11,0,0,0,0,2,5,4,2,2,1,SAC,Loss,81
